dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,pkt_size_avg,totlen_fwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,totlen_bwd_pkts,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_bytes_s,flow_iat_tot,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,cwr_flag_cnt,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,down_up_ratio,fwd_bytes_b_avg,fwd_pkts_b_avg,bwd_bytes_b_avg,bwd_pkts_b_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_seg_size_min,fwd_blk_rate_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_bytes,subflow_bwd_pkts,subflow_bwd_bytes,init_fwd_win_bytes,init_bwd_win_bytes,fwd_act_data_pkts,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
53,17,1388651869.8487470149993896484375,0.000000,1,0,0,0,0,95,95,95,0,0.0,95.0,95,95,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0,0,0,0,0,95,0,95,0,0,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0
37535,17,1388651869.881793975830078125,0.000000,1,0,0,0,0,193,193,193,0,0.0,193.0,193,193,193,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0,0,0,0,0,193,0,193,0,0,1,193,0,0,0,0,0,0,0,0,0,0,0,0,0
53,17,1388651869.88239192962646484375,0.000000,1,0,0,0,0,93,93,93,0,0.0,93.0,93,93,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0,0,0,0,0,93,0,93,0,0,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0
60284,17,1388651869.9148099422454833984375,0.000000,1,0,0,0,0,152,152,152,0,0.0,152.0,152,152,152,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0,0,0,0,0,152,0,152,0,0,1,152,0,0,0,0,0,0,0,0,0,0,0,0,0
53,17,1388651869.915625095367431640625,0.000000,1,0,0,0,0,95,95,95,0,0.0,95.0,95,95,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0,0,0,0,0,95,0,95,0,0,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0
54253,17,1388651869.9478199481964111328125,0.000000,1,0,0,0,0,166,166,166,0,0.0,166.0,166,166,166,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0,0,0,0,0,166,0,166,0,0,1,166,0,0,0,0,0,0,0,0,0,0,0,0,0
80,6,1388651869.948770999908447265625,0.088985,6,0,67.427094454121487387965316884219646453857421875,67.427094454121487387965316884219646453857421875,0,66,204,90.3299999999999982946974341757595539093017578125,50.9200000000000017053025658242404460906982421875,2592.56,90.33,542,204,66,90.3299999999999982946974341757595539093017578125,50.9200000000000017053025658242404460906982421875,0,0,0,0,0,6090.9141990223079119459725916385650634765625,0.088984966278076171875,0.017796993255615234375,0.00868407054110446365025044457297553890384733676910400390625,0.024424076080322265625,0.0006220340728759765625,0.088984966278076171875,0.017796993255615234375,0.00868407054110446365025044457297553890384733676910400390625,0.024424076080322265625,0.0006220340728759765625,0,0,0,0,0,1,1,0,1,5,0,0,0,1,0,0,0,0,320,0.0,468,5,0,0,23,0,0,5259.3153605015677385381422936916351318359375,0,6,542,0,0,5840,0,1,,,,,,,,
33198,6,1388651869.9697449207305908203125,0.067754,4,0,59.0371048203796107145535643212497234344482421875,59.0371048203796107145535643212497234344482421875,0,66,951,289.25,382.07999999999998408384271897375583648681640625,145981.69,289.25,1157,951,66,289.25,382.07999999999998408384271897375583648681640625,0,0,0,0,0,17076.48256929480339749716222286224365234375,0.0677540302276611328125,0.0225846767425537109375,0.0170368465685950265520176571953925304114818572998046875,0.042625904083251953125,0.0009820461273193359375,0.0677540302276611328125,0.0225846767425537109375,0.0170368465685950265520176571953925304114818572998046875,0.042625904083251953125,0.0009820461273193359375,0,0,0,0,0,1,1,0,1,4,0,0,0,1,0,0,0,0,216,0.0,1083,3,0,0,221.25,0,0,15984.288998912665192619897425174713134765625,0,4,1157,0,0,14480,0,1,,,,,,,,
1701,17,1388651873.716948986053466796875,12.895206,9,0,0.6979337902783406821782818951760418713092803955078125,0.6979337902783406821782818951760418713092803955078125,0,62,515,147.8899999999999863575794734060764312744140625,133.349999999999994315658113919198513031005859375,17781.43,147.89,1331,515,62,147.8899999999999863575794734060764312744140625,133.349999999999994315658113919198513031005859375,0,0,0,0,0,103.216652762274605947823147289454936981201171875,12.895205974578857421875,1.611900746822357177734375,3.205330458541206350986385587020777165889739990234375,10.0158150196075439453125,0.000988006591796875,12.895205974578857421875,1.611900746822357177734375,3.205330458541206350986385587020777165889739990234375,10.0158150196075439453125,0.000988006591796875,0,0,0,0,0,1,1,0,1,4,0,0,0,1,0,0,0,0,356,0.0,401.66666666666668561447295360267162322998046875,2.666666666666666518636930049979127943515777587890625,0,0,87.4444444444444428654605871997773647308349609375,0,0,775.705825516270124353468418121337890625,0,9,1331,0,0,28560,0,1,0.737896442413330078125,0.3821175098419189453125,1.1200139522552490234375,0.3557789325714111328125,1.4035980701446533203125,10.0158150196075439453125,4.3061084747314453125,5.7097065448760986328125
1701,17,1388651873.957747936248779296875,12.658157,10,0,0.79000442165474804578906287133577279746532440185546875,0.79000442165474804578906287133577279746532440185546875,0,68,214,116.400000000000005684341886080801486968994140625,44.14999999999999857891452847979962825775146484375,1949.44,116.4,1164,214,68,116.400000000000005684341886080801486968994140625,44.14999999999999857891452847979962825775146484375,0,0,0,0,0,91.9565146806126705314454738982021808624267578125,12.6581571102142333984375,1.406461901134914871391856650006957352161407470703125,3.068151694351841651808854294358752667903900146484375,10.015759944915771484375,0.000174999237060546875,12.6581571102142333984375,1.406461901134914871391856650006957352161407470703125,3.068151694351841651808854294358752667903900146484375,10.015759944915771484375,0.000174999237060546875,0,0,0,0,0,1,1,0,1,5,0,0,0,1,0,0,0,0,432,0.0,365.33333333333331438552704639732837677001953125,3,0,0,36.39999999999999857891452847979962825775146484375,0,0,511.03654055247028509256779216229915618896484375,0,10,1164,0,0,27860,0,1,0.70481908321380615234375,0.17478191852569580078125,0.879601001739501953125,0.5300371646881103515625,1.232758998870849609375,10.015759944915771484375,4.3915004730224609375,5.624259471893310546875
53,17,1388651877.197206020355224609375,0.000000,1,0,0,0,0,86,86,86,0,0.0,86.0,86,86,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0,0,0,0,0,86,0,86,0,0,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0
